t,sin,cos,tan
0,0,1,0
0.001,0.006283144,0.999980261,0.006283268
0.002,0.01256604,0.999921044,0.012567032
0.003,0.01884844,0.999822352,0.018851789
0.004,0.025130095,0.999684189,0.025138034
0.005,0.031410759,0.99950656,0.031426266
0.006,0.037690183,0.999289473,0.037716982
0.007,0.043968118,0.999032935,0.04401068
0.008,0.050244318,0.998736957,0.050307859
0.009,0.056518534,0.99840155,0.056609021
0.01,0.06279052,0.998026728,0.062914667
0.011,0.069060026,0.997612506,0.069225301
0.012,0.075326806,0.9971589,0.075541426
0.013,0.081590612,0.996665928,0.081863551
0.014,0.087851197,0.996133609,0.088192182
0.015,0.094108313,0.995561965,0.094527831
0.016,0.100361715,0.994951017,0.100871011
0.017,0.106611154,0.99430079,0.107222236
0.018,0.112856385,0.993611311,0.113582025
0.019,0.11909716,0.992882605,0.119950898
0.02,0.125333234,0.992114701,0.126329378
0.021,0.131564359,0.991307631,0.132717993
0.022,0.137790291,0.990461426,0.139117271
0.023,0.144010783,0.989576119,0.145527747
0.024,0.150225589,0.988651745,0.151949956
0.025,0.156434465,0.987688341,0.15838444
0.026,0.162637165,0.986685944,0.164831744
0.027,0.168833445,0.985644595,0.171292417
0.028,0.175023059,0.984564335,0.177767011
0.029,0.181205764,0.983445205,0.184256085
0.03,0.187381315,0.982287251,0.190760202
0.031,0.193549468,0.981090517,0.197279929
0.032,0.199709981,0.979855052,0.20381584
0.033,0.205862609,0.978580904,0.210368512
0.034,0.21200711,0.977268124,0.21693853
0.035,0.218143241,0.975916762,0.223526483
0.036,0.224270761,0.974526873,0.230132967
0.037,0.230389427,0.973098511,0.236758585
0.038,0.236498997,0.971631733,0.243403945
0.039,0.242599231,0.970126596,0.250069663
0.04,0.248689887,0.968583161,0.25675636
0.041,0.254770726,0.967001488,0.263464668
0.042,0.260841506,0.965381639,0.270195222
0.043,0.266901989,0.963723678,0.276948668
0.044,0.272951936,0.962027672,0.283725659
0.045,0.278991106,0.960293686,0.290526857
0.046,0.285019262,0.958521789,0.29735293
0.047,0.291036167,0.956712052,0.304204558
0.048,0.297041582,0.954864545,0.311082429
0.049,0.30303527,0.952979342,0.317987239
0.05,0.309016994,0.951056516,0.324919696
0.051,0.31498652,0.949096145,0.331880517
0.052,0.32094361,0.947098305,0.33887043
0.053,0.32688803,0.945063075,0.345890172
0.054,0.332819545,0.942990536,0.352940493
0.055,0.33873792,0.940880769,0.360022153
0.056,0.344642923,0.938733858,0.367135925
0.057,0.35053432,0.936549887,0.374282593
0.058,0.356411879,0.934328942,0.381462954
0.059,0.362275367,0.932071112,0.388677819
0.06,0.368124553,0.929776486,0.395928009
0.061,0.373959206,0.927445153,0.403214362
0.062,0.379779096,0.925077207,0.410537729
0.063,0.385583992,0.92267274,0.417898975
0.064,0.391373667,0.920231847,0.425298981
0.065,0.397147891,0.917754626,0.432738642
0.066,0.402906436,0.915241173,0.440218871
0.067,0.408649075,0.912691587,0.447740595
0.068,0.414375581,0.910105971,0.45530476
0.069,0.420085728,0.907484425,0.462912329
0.07,0.425779292,0.904827052,0.470564281
0.071,0.431456046,0.902133959,0.478261616
0.072,0.437115767,0.899405252,0.486005353
0.073,0.442758231,0.896641037,0.493796528
0.074,0.448383216,0.893841424,0.501636201
0.075,0.4539905,0.891006524,0.509525449
0.076,0.459579861,0.888136449,0.517465375
0.077,0.465151078,0.885231311,0.5254571
0.078,0.470703932,0.882291226,0.533501771
0.079,0.476238204,0.87931631,0.541600557
0.08,0.481753674,0.87630668,0.549754652
0.081,0.487250126,0.873262455,0.557965275
0.082,0.492727342,0.870183755,0.566233671
0.083,0.498185105,0.867070701,0.574561111
0.084,0.503623202,0.863923417,0.582948895
0.085,0.509041416,0.860742027,0.591398351
0.086,0.514439534,0.857526656,0.599910837
0.087,0.519817343,0.854277432,0.608487739
0.088,0.52517463,0.850994482,0.617130476
0.089,0.530511184,0.847677936,0.625840501
0.09,0.535826795,0.844327926,0.634619298
0.091,0.541121252,0.840944582,0.643468385
0.092,0.546394347,0.83752804,0.652389318
0.093,0.551645871,0.834078434,0.661383688
0.094,0.556875616,0.830595899,0.670453125
0.095,0.562083378,0.827080574,0.679599298
0.096,0.567268949,0.823532598,0.688823916
0.097,0.572432126,0.819952109,0.698128731
0.098,0.577572703,0.816339251,0.707515537
0.099,0.58269048,0.812694164,0.716986174
0.1,0.587785252,0.809016994,0.726542528
0.101,0.59285682,0.805307886,0.736186533
0.102,0.597904983,0.801566985,0.745920172
0.103,0.602929542,0.79779444,0.75574548
0.104,0.607930298,0.793990399,0.765664545
0.105,0.612907054,0.790155012,0.775679511
0.106,0.617859613,0.786288432,0.785792577
0.107,0.62278778,0.782390811,0.796006001
0.108,0.627691361,0.778462302,0.806322105
0.109,0.632570162,0.77450306,0.81674327
0.11,0.63742399,0.770513243,0.827271946
0.111,0.642252653,0.766493007,0.83791065
0.112,0.647055962,0.762442511,0.848661968
0.113,0.651833725,0.758361915,0.85952856
0.114,0.656585756,0.754251381,0.870513164
0.115,0.661311865,0.75011107,0.881618592
0.116,0.666011867,0.745941145,0.892847742
0.117,0.670685577,0.741741773,0.904203594
0.118,0.675332808,0.737513117,0.915689216
0.119,0.679953379,0.733255346,0.927307768
0.12,0.684547106,0.728968627,0.939062506
0.121,0.689113808,0.72465313,0.950956782
0.122,0.693653306,0.720309025,0.962994051
0.123,0.698165419,0.715936483,0.975177876
0.124,0.70264997,0.711535677,0.98751193
0.125,0.707106781,0.707106781,1
0.126,0.711535677,0.70264997,1.012645994
0.127,0.715936483,0.698165419,1.025453945
0.128,0.720309025,0.693653306,1.038428014
0.129,0.72465313,0.689113808,1.0515725
0.13,0.728968627,0.684547106,1.06489184
0.131,0.733255346,0.679953379,1.078390621
0.132,0.737513117,0.675332808,1.09207358
0.133,0.741741773,0.670685577,1.105945615
0.134,0.745941145,0.666011867,1.120011792
0.135,0.75011107,0.661311865,1.134277349
0.136,0.754251381,0.656585756,1.148747706
0.137,0.758361915,0.651833725,1.163428472
0.138,0.762442511,0.647055962,1.178325456
0.139,0.766493007,0.642252653,1.193444672
0.14,0.770513243,0.63742399,1.20879235
0.141,0.77450306,0.632570162,1.22437495
0.142,0.778462302,0.627691361,1.240199164
0.143,0.782390811,0.62278778,1.256271936
0.144,0.786288432,0.617859613,1.272600467
0.145,0.790155012,0.612907054,1.289192232
0.146,0.793990399,0.607930298,1.30605499
0.147,0.79779444,0.602929542,1.323196799
0.148,0.801566985,0.597904983,1.340626032
0.149,0.805307886,0.59285682,1.35835139
0.15,0.809016994,0.587785252,1.37638192
0.151,0.812694164,0.58269048,1.394727034
0.152,0.816339251,0.577572703,1.413396523
0.153,0.819952109,0.572432126,1.432400581
0.154,0.823532598,0.567268949,1.451749825
0.155,0.827080574,0.562083378,1.471455316
0.156,0.830595899,0.556875616,1.491528583
0.157,0.834078434,0.551645871,1.51198165
0.158,0.83752804,0.546394347,1.53282706
0.159,0.840944582,0.541121252,1.554077906
0.16,0.844327926,0.535826795,1.57574786
0.161,0.847677936,0.530511184,1.597851207
0.162,0.850994482,0.52517463,1.620402878
0.163,0.854277432,0.519817343,1.643418489
0.164,0.857526656,0.514439534,1.666914379
0.165,0.860742027,0.509041416,1.690907656
0.166,0.863923417,0.503623202,1.715416237
0.167,0.867070701,0.498185105,1.740458901
0.168,0.870183755,0.492727342,1.766055344
0.169,0.873262455,0.487250126,1.792226228
0.17,0.87630668,0.481753674,1.818993247
0.171,0.87931631,0.476238204,1.846379193
0.172,0.882291226,0.470703932,1.874408022
0.173,0.885231311,0.465151078,1.903104933
0.174,0.888136449,0.459579861,1.932496449
0.175,0.891006524,0.4539905,1.962610506
0.176,0.893841424,0.448383216,1.993476544
0.177,0.896641037,0.442758231,2.025125619
0.178,0.899405252,0.437115767,2.057590506
0.179,0.902133959,0.431456046,2.090905826
0.18,0.904827052,0.425779292,2.125108173
0.181,0.907484425,0.420085728,2.160236264
0.182,0.910105971,0.414375581,2.196331088
0.183,0.912691587,0.408649075,2.23343608
0.184,0.915241173,0.402906436,2.271597303
0.185,0.917754626,0.397147891,2.310863654
0.186,0.920231847,0.391373667,2.351287083
0.187,0.92267274,0.385583992,2.392922835
0.188,0.925077207,0.379779096,2.435829717
0.189,0.927445153,0.373959206,2.48007039
0.19,0.929776486,0.368124553,2.525711689
0.191,0.932071112,0.362275367,2.572824978
0.192,0.934328942,0.356411879,2.621486539
0.193,0.936549887,0.35053432,2.671778005
0.194,0.938733858,0.344642923,2.723786837
0.195,0.940880769,0.33873792,2.777606854
0.196,0.942990536,0.332819545,2.833338821
0.197,0.945063075,0.32688803,2.891091106
0.198,0.947098305,0.32094361,2.950980409
0.199,0.949096145,0.31498652,3.013132581
0.2,0.951056516,0.309016994,3.077683537
0.201,0.952979342,0.30303527,3.144780285
0.202,0.954864545,0.297041582,3.214582079
0.203,0.956712052,0.291036167,3.287261724
0.204,0.958521789,0.285019262,3.36300705
0.205,0.960293686,0.278991106,3.442022577
0.206,0.962027672,0.272951936,3.524531415
0.207,0.963723678,0.266901989,3.610777427
0.208,0.965381639,0.260841506,3.701027695
0.209,0.967001488,0.254770726,3.795575356
0.21,0.968583161,0.248689887,3.894742855
0.211,0.970126596,0.242599231,3.998885707
0.212,0.971631733,0.236498997,4.108396844
0.213,0.973098511,0.230389427,4.223711674
0.214,0.974526873,0.224270761,4.34531398
0.215,0.975916762,0.218143241,4.473742829
0.216,0.977268124,0.21200711,4.609600706
0.217,0.978580904,0.205862609,4.753563118
0.218,0.979855052,0.199709981,4.906390005
0.219,0.981090517,0.193549468,5.068939364
0.22,0.982287251,0.187381315,5.242183581
0.221,0.983445205,0.181205764,5.427229164
0.222,0.984564335,0.175023059,5.625340685
0.223,0.985644595,0.168833445,5.837970059
0.224,0.986685944,0.162637165,6.066792563
0.225,0.987688341,0.156434465,6.313751515
0.226,0.988651745,0.150225589,6.581114113
0.227,0.989576119,0.144010783,6.871541846
0.228,0.990461426,0.137790291,7.188180102
0.229,0.991307631,0.131564359,7.534773383
0.23,0.992114701,0.125333234,7.915815088
0.231,0.992882605,0.11909716,8.336744586
0.232,0.993611311,0.112856385,8.804209985
0.233,0.99430079,0.106611154,9.326423648
0.234,0.994951017,0.100361715,9.913651022
0.235,0.995561965,0.094108313,10.57889499
0.236,0.996133609,0.087851197,11.33887355
0.237,0.996665928,0.081590612,12.21544868
0.238,0.9971589,0.075326806,13.23776965
0.239,0.997612506,0.069060026,14.4455855
0.24,0.998026728,0.06279052,15.89454484
0.241,0.99840155,0.056518534,17.66502899
0.242,0.998736957,0.050244318,19.8776099
0.243,0.999032935,0.043968118,22.72175778
0.244,0.999289473,0.037690183,26.51325629
0.245,0.99950656,0.031410759,31.82051595
0.246,0.999684189,0.025130095,39.78035784
0.247,0.999822352,0.01884844,53.04536436
0.248,0.999921044,0.01256604,79.57328271
0.249,0.999980261,0.006283144,159.1528487
0.25,1,6.12E-17,1.63E+16
0.251,0.999980261,-0.006283144,-159.1528487
0.252,0.999921044,-0.01256604,-79.57328271
0.253,0.999822352,-0.01884844,-53.04536436
0.254,0.999684189,-0.025130095,-39.78035784
0.255,0.99950656,-0.031410759,-31.82051595
0.256,0.999289473,-0.037690183,-26.51325629
0.257,0.999032935,-0.043968118,-22.72175778
0.258,0.998736957,-0.050244318,-19.8776099
0.259,0.99840155,-0.056518534,-17.66502899
0.26,0.998026728,-0.06279052,-15.89454484
0.261,0.997612506,-0.069060026,-14.4455855
0.262,0.9971589,-0.075326806,-13.23776965
0.263,0.996665928,-0.081590612,-12.21544868
0.264,0.996133609,-0.087851197,-11.33887355
0.265,0.995561965,-0.094108313,-10.57889499
0.266,0.994951017,-0.100361715,-9.913651022
0.267,0.99430079,-0.106611154,-9.326423648
0.268,0.993611311,-0.112856385,-8.804209985
0.269,0.992882605,-0.11909716,-8.336744586
0.27,0.992114701,-0.125333234,-7.915815088
0.271,0.991307631,-0.131564359,-7.534773383
0.272,0.990461426,-0.137790291,-7.188180102
0.273,0.989576119,-0.144010783,-6.871541846
0.274,0.988651745,-0.150225589,-6.581114113
0.275,0.987688341,-0.156434465,-6.313751515
0.276,0.986685944,-0.162637165,-6.066792563
0.277,0.985644595,-0.168833445,-5.837970059
0.278,0.984564335,-0.175023059,-5.625340685
0.279,0.983445205,-0.181205764,-5.427229164
0.28,0.982287251,-0.187381315,-5.242183581
0.281,0.981090517,-0.193549468,-5.068939364
0.282,0.979855052,-0.199709981,-4.906390005
0.283,0.978580904,-0.205862609,-4.753563118
0.284,0.977268124,-0.21200711,-4.609600706
0.285,0.975916762,-0.218143241,-4.473742829
0.286,0.974526873,-0.224270761,-4.34531398
0.287,0.973098511,-0.230389427,-4.223711674
0.288,0.971631733,-0.236498997,-4.108396844
0.289,0.970126596,-0.242599231,-3.998885707
0.29,0.968583161,-0.248689887,-3.894742855
0.291,0.967001488,-0.254770726,-3.795575356
0.292,0.965381639,-0.260841506,-3.701027695
0.293,0.963723678,-0.266901989,-3.610777427
0.294,0.962027672,-0.272951936,-3.524531415
0.295,0.960293686,-0.278991106,-3.442022577
0.296,0.958521789,-0.285019262,-3.36300705
0.297,0.956712052,-0.291036167,-3.287261724
0.298,0.954864545,-0.297041582,-3.214582079
0.299,0.952979342,-0.30303527,-3.144780285
0.3,0.951056516,-0.309016994,-3.077683537
0.301,0.949096145,-0.31498652,-3.013132581
0.302,0.947098305,-0.32094361,-2.950980409
0.303,0.945063075,-0.32688803,-2.891091106
0.304,0.942990536,-0.332819545,-2.833338821
0.305,0.940880769,-0.33873792,-2.777606854
0.306,0.938733858,-0.344642923,-2.723786837
0.307,0.936549887,-0.35053432,-2.671778005
0.308,0.934328942,-0.356411879,-2.621486539
0.309,0.932071112,-0.362275367,-2.572824978
0.31,0.929776486,-0.368124553,-2.525711689
0.311,0.927445153,-0.373959206,-2.48007039
0.312,0.925077207,-0.379779096,-2.435829717
0.313,0.92267274,-0.385583992,-2.392922835
0.314,0.920231847,-0.391373667,-2.351287083
0.315,0.917754626,-0.397147891,-2.310863654
0.316,0.915241173,-0.402906436,-2.271597303
0.317,0.912691587,-0.408649075,-2.23343608
0.318,0.910105971,-0.414375581,-2.196331088
0.319,0.907484425,-0.420085728,-2.160236264
0.32,0.904827052,-0.425779292,-2.125108173
0.321,0.902133959,-0.431456046,-2.090905826
0.322,0.899405252,-0.437115767,-2.057590506
0.323,0.896641037,-0.442758231,-2.025125619
0.324,0.893841424,-0.448383216,-1.993476544
0.325,0.891006524,-0.4539905,-1.962610506
0.326,0.888136449,-0.459579861,-1.932496449
0.327,0.885231311,-0.465151078,-1.903104933
0.328,0.882291226,-0.470703932,-1.874408022
0.329,0.87931631,-0.476238204,-1.846379193
0.33,0.87630668,-0.481753674,-1.818993247
0.331,0.873262455,-0.487250126,-1.792226228
0.332,0.870183755,-0.492727342,-1.766055344
0.333,0.867070701,-0.498185105,-1.740458901
0.334,0.863923417,-0.503623202,-1.715416237
0.335,0.860742027,-0.509041416,-1.690907656
0.336,0.857526656,-0.514439534,-1.666914379
0.337,0.854277432,-0.519817343,-1.643418489
0.338,0.850994482,-0.52517463,-1.620402878
0.339,0.847677936,-0.530511184,-1.597851207
0.34,0.844327926,-0.535826795,-1.57574786
0.341,0.840944582,-0.541121252,-1.554077906
0.342,0.83752804,-0.546394347,-1.53282706
0.343,0.834078434,-0.551645871,-1.51198165
0.344,0.830595899,-0.556875616,-1.491528583
0.345,0.827080574,-0.562083378,-1.471455316
0.346,0.823532598,-0.567268949,-1.451749825
0.347,0.819952109,-0.572432126,-1.432400581
0.348,0.816339251,-0.577572703,-1.413396523
0.349,0.812694164,-0.58269048,-1.394727034
0.35,0.809016994,-0.587785252,-1.37638192
0.351,0.805307886,-0.59285682,-1.35835139
0.352,0.801566985,-0.597904983,-1.340626032
0.353,0.79779444,-0.602929542,-1.323196799
0.354,0.793990399,-0.607930298,-1.30605499
0.355,0.790155012,-0.612907054,-1.289192232
0.356,0.786288432,-0.617859613,-1.272600467
0.357,0.782390811,-0.62278778,-1.256271936
0.358,0.778462302,-0.627691361,-1.240199164
0.359,0.77450306,-0.632570162,-1.22437495
0.36,0.770513243,-0.63742399,-1.20879235
0.361,0.766493007,-0.642252653,-1.193444672
0.362,0.762442511,-0.647055962,-1.178325456
0.363,0.758361915,-0.651833725,-1.163428472
0.364,0.754251381,-0.656585756,-1.148747706
0.365,0.75011107,-0.661311865,-1.134277349
0.366,0.745941145,-0.666011867,-1.120011792
0.367,0.741741773,-0.670685577,-1.105945615
0.368,0.737513117,-0.675332808,-1.09207358
0.369,0.733255346,-0.679953379,-1.078390621
0.37,0.728968627,-0.684547106,-1.06489184
0.371,0.72465313,-0.689113808,-1.0515725
0.372,0.720309025,-0.693653306,-1.038428014
0.373,0.715936483,-0.698165419,-1.025453945
0.374,0.711535677,-0.70264997,-1.012645994
0.375,0.707106781,-0.707106781,-1
0.376,0.70264997,-0.711535677,-0.98751193
0.377,0.698165419,-0.715936483,-0.975177876
0.378,0.693653306,-0.720309025,-0.962994051
0.379,0.689113808,-0.72465313,-0.950956782
0.38,0.684547106,-0.728968627,-0.939062506
0.381,0.679953379,-0.733255346,-0.927307768
0.382,0.675332808,-0.737513117,-0.915689216
0.383,0.670685577,-0.741741773,-0.904203594
0.384,0.666011867,-0.745941145,-0.892847742
0.385,0.661311865,-0.75011107,-0.881618592
0.386,0.656585756,-0.754251381,-0.870513164
0.387,0.651833725,-0.758361915,-0.85952856
0.388,0.647055962,-0.762442511,-0.848661968
0.389,0.642252653,-0.766493007,-0.83791065
0.39,0.63742399,-0.770513243,-0.827271946
0.391,0.632570162,-0.77450306,-0.81674327
0.392,0.627691361,-0.778462302,-0.806322105
0.393,0.62278778,-0.782390811,-0.796006001
0.394,0.617859613,-0.786288432,-0.785792577
0.395,0.612907054,-0.790155012,-0.775679511
0.396,0.607930298,-0.793990399,-0.765664545
0.397,0.602929542,-0.79779444,-0.75574548
0.398,0.597904983,-0.801566985,-0.745920172
0.399,0.59285682,-0.805307886,-0.736186533
0.4,0.587785252,-0.809016994,-0.726542528
0.401,0.58269048,-0.812694164,-0.716986174
0.402,0.577572703,-0.816339251,-0.707515537
0.403,0.572432126,-0.819952109,-0.698128731
0.404,0.567268949,-0.823532598,-0.688823916
0.405,0.562083378,-0.827080574,-0.679599298
0.406,0.556875616,-0.830595899,-0.670453125
0.407,0.551645871,-0.834078434,-0.661383688
0.408,0.546394347,-0.83752804,-0.652389318
0.409,0.541121252,-0.840944582,-0.643468385
0.41,0.535826795,-0.844327926,-0.634619298
0.411,0.530511184,-0.847677936,-0.625840501
0.412,0.52517463,-0.850994482,-0.617130476
0.413,0.519817343,-0.854277432,-0.608487739
0.414,0.514439534,-0.857526656,-0.599910837
0.415,0.509041416,-0.860742027,-0.591398351
0.416,0.503623202,-0.863923417,-0.582948895
0.417,0.498185105,-0.867070701,-0.574561111
0.418,0.492727342,-0.870183755,-0.566233671
0.419,0.487250126,-0.873262455,-0.557965275
0.42,0.481753674,-0.87630668,-0.549754652
0.421,0.476238204,-0.87931631,-0.541600557
0.422,0.470703932,-0.882291226,-0.533501771
0.423,0.465151078,-0.885231311,-0.5254571
0.424,0.459579861,-0.888136449,-0.517465375
0.425,0.4539905,-0.891006524,-0.509525449
0.426,0.448383216,-0.893841424,-0.501636201
0.427,0.442758231,-0.896641037,-0.493796528
0.428,0.437115767,-0.899405252,-0.486005353
0.429,0.431456046,-0.902133959,-0.478261616
0.43,0.425779292,-0.904827052,-0.470564281
0.431,0.420085728,-0.907484425,-0.462912329
0.432,0.414375581,-0.910105971,-0.45530476
0.433,0.408649075,-0.912691587,-0.447740595
0.434,0.402906436,-0.915241173,-0.440218871
0.435,0.397147891,-0.917754626,-0.432738642
0.436,0.391373667,-0.920231847,-0.425298981
0.437,0.385583992,-0.92267274,-0.417898975
0.438,0.379779096,-0.925077207,-0.410537729
0.439,0.373959206,-0.927445153,-0.403214362
0.44,0.368124553,-0.929776486,-0.395928009
0.441,0.362275367,-0.932071112,-0.388677819
0.442,0.356411879,-0.934328942,-0.381462954
0.443,0.35053432,-0.936549887,-0.374282593
0.444,0.344642923,-0.938733858,-0.367135925
0.445,0.33873792,-0.940880769,-0.360022153
0.446,0.332819545,-0.942990536,-0.352940493
0.447,0.32688803,-0.945063075,-0.345890172
0.448,0.32094361,-0.947098305,-0.33887043
0.449,0.31498652,-0.949096145,-0.331880517
0.45,0.309016994,-0.951056516,-0.324919696
0.451,0.30303527,-0.952979342,-0.317987239
0.452,0.297041582,-0.954864545,-0.311082429
0.453,0.291036167,-0.956712052,-0.304204558
0.454,0.285019262,-0.958521789,-0.29735293
0.455,0.278991106,-0.960293686,-0.290526857
0.456,0.272951936,-0.962027672,-0.283725659
0.457,0.266901989,-0.963723678,-0.276948668
0.458,0.260841506,-0.965381639,-0.270195222
0.459,0.254770726,-0.967001488,-0.263464668
0.46,0.248689887,-0.968583161,-0.25675636
0.461,0.242599231,-0.970126596,-0.250069663
0.462,0.236498997,-0.971631733,-0.243403945
0.463,0.230389427,-0.973098511,-0.236758585
0.464,0.224270761,-0.974526873,-0.230132967
0.465,0.218143241,-0.975916762,-0.223526483
0.466,0.21200711,-0.977268124,-0.21693853
0.467,0.205862609,-0.978580904,-0.210368512
0.468,0.199709981,-0.979855052,-0.20381584
0.469,0.193549468,-0.981090517,-0.197279929
0.47,0.187381315,-0.982287251,-0.190760202
0.471,0.181205764,-0.983445205,-0.184256085
0.472,0.175023059,-0.984564335,-0.177767011
0.473,0.168833445,-0.985644595,-0.171292417
0.474,0.162637165,-0.986685944,-0.164831744
0.475,0.156434465,-0.987688341,-0.15838444
0.476,0.150225589,-0.988651745,-0.151949956
0.477,0.144010783,-0.989576119,-0.145527747
0.478,0.137790291,-0.990461426,-0.139117271
0.479,0.131564359,-0.991307631,-0.132717993
0.48,0.125333234,-0.992114701,-0.126329378
0.481,0.11909716,-0.992882605,-0.119950898
0.482,0.112856385,-0.993611311,-0.113582025
0.483,0.106611154,-0.99430079,-0.107222236
0.484,0.100361715,-0.994951017,-0.100871011
0.485,0.094108313,-0.995561965,-0.094527831
0.486,0.087851197,-0.996133609,-0.088192182
0.487,0.081590612,-0.996665928,-0.081863551
0.488,0.075326806,-0.9971589,-0.075541426
0.489,0.069060026,-0.997612506,-0.069225301
0.49,0.06279052,-0.998026728,-0.062914667
0.491,0.056518534,-0.99840155,-0.056609021
0.492,0.050244318,-0.998736957,-0.050307859
0.493,0.043968118,-0.999032935,-0.04401068
0.494,0.037690183,-0.999289473,-0.037716982
0.495,0.031410759,-0.99950656,-0.031426266
0.496,0.025130095,-0.999684189,-0.025138034
0.497,0.01884844,-0.999822352,-0.018851789
0.498,0.01256604,-0.999921044,-0.012567032
0.499,0.006283144,-0.999980261,-0.006283268
0.5,1.22E-16,-1,-1.22E-16
0.501,-0.006283144,-0.999980261,0.006283268
0.502,-0.01256604,-0.999921044,0.012567032
0.503,-0.01884844,-0.999822352,0.018851789
0.504,-0.025130095,-0.999684189,0.025138034
0.505,-0.031410759,-0.99950656,0.031426266
0.506,-0.037690183,-0.999289473,0.037716982
0.507,-0.043968118,-0.999032935,0.04401068
0.508,-0.050244318,-0.998736957,0.050307859
0.509,-0.056518534,-0.99840155,0.056609021
0.51,-0.06279052,-0.998026728,0.062914667
0.511,-0.069060026,-0.997612506,0.069225301
0.512,-0.075326806,-0.9971589,0.075541426
0.513,-0.081590612,-0.996665928,0.081863551
0.514,-0.087851197,-0.996133609,0.088192182
0.515,-0.094108313,-0.995561965,0.094527831
0.516,-0.100361715,-0.994951017,0.100871011
0.517,-0.106611154,-0.99430079,0.107222236
0.518,-0.112856385,-0.993611311,0.113582025
0.519,-0.11909716,-0.992882605,0.119950898
0.52,-0.125333234,-0.992114701,0.126329378
0.521,-0.131564359,-0.991307631,0.132717993
0.522,-0.137790291,-0.990461426,0.139117271
0.523,-0.144010783,-0.989576119,0.145527747
0.524,-0.150225589,-0.988651745,0.151949956
0.525,-0.156434465,-0.987688341,0.15838444
0.526,-0.162637165,-0.986685944,0.164831744
0.527,-0.168833445,-0.985644595,0.171292417
0.528,-0.175023059,-0.984564335,0.177767011
0.529,-0.181205764,-0.983445205,0.184256085
0.53,-0.187381315,-0.982287251,0.190760202
0.531,-0.193549468,-0.981090517,0.197279929
0.532,-0.199709981,-0.979855052,0.20381584
0.533,-0.205862609,-0.978580904,0.210368512
0.534,-0.21200711,-0.977268124,0.21693853
0.535,-0.218143241,-0.975916762,0.223526483
0.536,-0.224270761,-0.974526873,0.230132967
0.537,-0.230389427,-0.973098511,0.236758585
0.538,-0.236498997,-0.971631733,0.243403945
0.539,-0.242599231,-0.970126596,0.250069663
0.54,-0.248689887,-0.968583161,0.25675636
0.541,-0.254770726,-0.967001488,0.263464668
0.542,-0.260841506,-0.965381639,0.270195222
0.543,-0.266901989,-0.963723678,0.276948668
0.544,-0.272951936,-0.962027672,0.283725659
0.545,-0.278991106,-0.960293686,0.290526857
0.546,-0.285019262,-0.958521789,0.29735293
0.547,-0.291036167,-0.956712052,0.304204558
0.548,-0.297041582,-0.954864545,0.311082429
0.549,-0.30303527,-0.952979342,0.317987239
0.55,-0.309016994,-0.951056516,0.324919696
0.551,-0.31498652,-0.949096145,0.331880517
0.552,-0.32094361,-0.947098305,0.33887043
0.553,-0.32688803,-0.945063075,0.345890172
0.554,-0.332819545,-0.942990536,0.352940493
0.555,-0.33873792,-0.940880769,0.360022153
0.556,-0.344642923,-0.938733858,0.367135925
0.557,-0.35053432,-0.936549887,0.374282593
0.558,-0.356411879,-0.934328942,0.381462954
0.559,-0.362275367,-0.932071112,0.388677819
0.56,-0.368124553,-0.929776486,0.395928009
0.561,-0.373959206,-0.927445153,0.403214362
0.562,-0.379779096,-0.925077207,0.410537729
0.563,-0.385583992,-0.92267274,0.417898975
0.564,-0.391373667,-0.920231847,0.425298981
0.565,-0.397147891,-0.917754626,0.432738642
0.566,-0.402906436,-0.915241173,0.440218871
0.567,-0.408649075,-0.912691587,0.447740595
0.568,-0.414375581,-0.910105971,0.45530476
0.569,-0.420085728,-0.907484425,0.462912329
0.57,-0.425779292,-0.904827052,0.470564281
0.571,-0.431456046,-0.902133959,0.478261616
0.572,-0.437115767,-0.899405252,0.486005353
0.573,-0.442758231,-0.896641037,0.493796528
0.574,-0.448383216,-0.893841424,0.501636201
0.575,-0.4539905,-0.891006524,0.509525449
0.576,-0.459579861,-0.888136449,0.517465375
0.577,-0.465151078,-0.885231311,0.5254571
0.578,-0.470703932,-0.882291226,0.533501771
0.579,-0.476238204,-0.87931631,0.541600557
0.58,-0.481753674,-0.87630668,0.549754652
0.581,-0.487250126,-0.873262455,0.557965275
0.582,-0.492727342,-0.870183755,0.566233671
0.583,-0.498185105,-0.867070701,0.574561111
0.584,-0.503623202,-0.863923417,0.582948895
0.585,-0.509041416,-0.860742027,0.591398351
0.586,-0.514439534,-0.857526656,0.599910837
0.587,-0.519817343,-0.854277432,0.608487739
0.588,-0.52517463,-0.850994482,0.617130476
0.589,-0.530511184,-0.847677936,0.625840501
0.59,-0.535826795,-0.844327926,0.634619298
0.591,-0.541121252,-0.840944582,0.643468385
0.592,-0.546394347,-0.83752804,0.652389318
0.593,-0.551645871,-0.834078434,0.661383688
0.594,-0.556875616,-0.830595899,0.670453125
0.595,-0.562083378,-0.827080574,0.679599298
0.596,-0.567268949,-0.823532598,0.688823916
0.597,-0.572432126,-0.819952109,0.698128731
0.598,-0.577572703,-0.816339251,0.707515537
0.599,-0.58269048,-0.812694164,0.716986174
0.6,-0.587785252,-0.809016994,0.726542528
0.601,-0.59285682,-0.805307886,0.736186533
0.602,-0.597904983,-0.801566985,0.745920172
0.603,-0.602929542,-0.79779444,0.75574548
